robot,n_spheres_robot,dim,n_obstacles,extent,rake,m_blocks,repeats,median_ns_per_fkcc,fkcc_per_sec,configs_per_sec,collision_frac
panda,59,7,10,0.60,8,200000,5,357.585,2796536,22372292,0.9098
panda,59,7,25,0.60,8,200000,5,465.722,2147206,17177647,1.0000
panda,59,7,50,0.60,8,200000,5,730.100,1369675,10957402,0.9857
panda,59,7,100,0.60,8,200000,5,886.584,1127925,9023398,1.0000
panda,59,7,200,0.60,8,200000,5,810.650,1233578,9868622,1.0000
panda,59,7,400,0.60,8,200000,5,937.934,1066173,8529386,1.0000
panda,59,7,800,0.60,8,200000,5,827.953,1207798,9662380,1.0000
ur5,40,6,10,0.60,8,200000,5,318.586,3138868,25110942,0.9960
ur5,40,6,25,0.60,8,200000,5,618.251,1617467,12939733,0.9965
ur5,40,6,50,0.60,8,200000,5,796.282,1255836,10046690,0.9973
ur5,40,6,100,0.60,8,200000,5,1365.730,732209,5857675,0.9976
ur5,40,6,200,0.60,8,200000,5,1915.148,522153,4177223,0.9981
ur5,40,6,400,0.60,8,200000,5,2970.432,336651,2693211,0.9987
ur5,40,6,800,0.60,8,200000,5,4105.681,243565,1948520,0.9989
panda,59,7,10,1.50,8,200000,5,379.064,2638075,21104599,0.5529
panda,59,7,25,1.50,8,200000,5,402.830,2482436,19859489,0.6213
panda,59,7,50,1.50,8,200000,5,477.864,2092646,16741171,0.5793
panda,59,7,100,1.50,8,200000,5,443.785,2253342,18026735,0.9855
panda,59,7,200,1.50,8,200000,5,905.255,1104661,8837287,0.9184
panda,59,7,400,1.50,8,200000,5,1143.577,874449,6995594,0.9623
panda,59,7,800,1.50,8,200000,5,1343.708,744209,5953673,1.0000
ur5,40,6,10,1.50,8,200000,5,289.109,3458903,27671228,0.9960
ur5,40,6,25,1.50,8,200000,5,526.559,1899122,15192974,0.9963
ur5,40,6,50,1.50,8,200000,5,925.251,1080788,8646304,0.9992
ur5,40,6,100,1.50,8,200000,5,1275.034,784293,6274344,0.9987
ur5,40,6,200,1.50,8,200000,5,1712.911,583801,4670411,1.0000
ur5,40,6,400,1.50,8,200000,5,3276.059,305245,2441958,1.0000
ur5,40,6,800,1.50,8,200000,5,3721.284,268724,2149796,1.0000
