robot,scene,N,extent,margin,n_spheres,mean_frac_kept,t0_ns,tprune_ns,speedup,partition_us,verify_blocks,fn_blocks,fn_rate
fetch,box,200,0.60,0.050,111,0.2015,259.434,258.059,1.005,281.4,100000,0,0.000000
baxter,box,200,0.60,0.050,75,0.7723,303.051,298.282,1.016,305.4,100000,0,0.000000
ur5,box,200,0.60,0.050,40,0.4416,3290.298,1384.903,2.376,107.8,100000,0,0.000000
panda,box,200,0.60,0.050,59,0.6859,217.652,198.234,1.098,280.4,100000,0,0.000000
fetch,box,800,0.60,0.050,111,0.2178,257.985,254.586,1.013,1112.7,100000,0,0.000000
baxter,box,800,0.60,0.050,75,0.7800,301.278,295.287,1.020,1763.9,100000,0,0.000000
ur5,box,800,0.60,0.050,40,0.4654,6389.863,1444.737,4.423,728.0,100000,0,0.000000
panda,box,800,0.60,0.050,59,0.7053,192.186,190.994,1.006,1572.7,100000,0,0.000000
fetch,box,200,1.50,0.050,111,0.0624,360.566,311.204,1.159,49.7,100000,0,0.000000
baxter,box,200,1.50,0.050,75,0.3186,303.756,301.894,1.006,162.9,100000,0,0.000000
ur5,box,200,1.50,0.050,40,0.1988,2881.317,1201.557,2.398,43.2,100000,0,0.000000
panda,box,200,1.50,0.050,59,0.1800,1159.988,1167.043,0.994,54.0,100000,0,0.000000
fetch,box,800,1.50,0.050,111,0.0730,259.894,256.419,1.014,406.8,100000,0,0.000000
baxter,box,800,1.50,0.050,75,0.3406,303.487,295.041,1.029,995.8,100000,0,0.000000
ur5,box,800,1.50,0.050,40,0.2173,240.163,132.648,1.811,353.3,100000,0,0.000000
panda,box,800,1.50,0.050,59,0.1838,415.504,310.231,1.339,437.8,100000,0,0.000000
