robot,scene,N,param,dist,n_spheres,frac_radial,frac_aabb,aabb_beats_radial,reach_frac
ur5,box,200,0.60,full,40,0.9359,0.4126,2.268,3.170
panda,box,200,0.60,full,59,0.6931,0.6614,1.048,1.811
baxter,box,200,0.60,full,75,0.8541,0.7609,1.122,3.793
fetch,box,200,0.60,full,111,0.8812,0.1847,4.772,0.990
ur5,box,800,0.60,full,40,0.9344,0.4286,2.180,3.170
panda,box,800,0.60,full,59,0.6845,0.6593,1.038,1.811
baxter,box,800,0.60,full,75,0.8491,0.7588,1.119,3.793
fetch,box,800,0.60,full,111,0.8741,0.1902,4.596,0.990
ur5,box,200,1.50,full,40,0.3011,0.1769,1.702,0.203
panda,box,200,1.50,full,59,0.0830,0.1498,0.554,0.116
baxter,box,200,1.50,full,75,0.1810,0.2809,0.644,0.243
fetch,box,200,1.50,full,111,0.2516,0.0578,4.354,0.063
ur5,box,800,1.50,full,40,0.3224,0.2164,1.490,0.203
panda,box,800,1.50,full,59,0.0939,0.1769,0.531,0.116
baxter,box,800,1.50,full,75,0.1981,0.3238,0.612,0.243
fetch,box,800,1.50,full,111,0.2698,0.0736,3.666,0.063
ur5,box,200,3.00,full,40,0.0491,0.0324,1.516,0.025
panda,box,200,3.00,full,59,0.0190,0.0297,0.638,0.014
baxter,box,200,3.00,full,75,0.0326,0.0489,0.665,0.030
fetch,box,200,3.00,full,111,0.0411,0.0091,4.522,0.008
ur5,box,800,3.00,full,40,0.0388,0.0374,1.038,0.025
panda,box,800,3.00,full,59,0.0116,0.0201,0.575,0.014
baxter,box,800,3.00,full,75,0.0233,0.0359,0.650,0.030
fetch,box,800,3.00,full,111,0.0317,0.0115,2.760,0.008
ur5,shell,400,0.90,full,40,0.8783,0.4130,2.127,0.939
panda,shell,400,0.90,full,59,0.5045,0.5629,0.896,0.537
fetch,shell,400,0.90,full,111,0.8006,0.1675,4.779,0.293
panda,box,800,1.50,corridor,59,0.1097,0.1725,0.636,0.000
panda,box,800,3.00,corridor,59,0.0130,0.0183,0.709,0.000
