kernel,N,extent,rake,k_queries,dist,med_ns_generic,med_ns_spec,speedup,collision_frac,mismatches
kernel,10,0.60,8,500000,near,13.865,11.051,1.255,0.2300,0
kernel,10,0.60,8,500000,full,14.212,11.543,1.231,0.0711,0
kernel,25,0.60,8,500000,near,23.634,21.714,1.088,0.5250,0
kernel,25,0.60,8,500000,full,26.015,23.872,1.090,0.1829,0
kernel,50,0.60,8,500000,near,32.681,30.883,1.058,0.7552,0
kernel,50,0.60,8,500000,full,44.344,41.059,1.080,0.3071,0
kernel,100,0.60,8,500000,near,40.057,39.038,1.026,0.9324,0
kernel,100,0.60,8,500000,full,72.570,69.021,1.051,0.4942,0
kernel,200,0.60,8,500000,near,47.551,44.564,1.067,0.9931,0
kernel,200,0.60,8,500000,full,115.990,112.384,1.032,0.6778,0
kernel,400,0.60,8,500000,near,53.047,52.029,1.020,0.9999,0
kernel,400,0.60,8,500000,full,198.806,201.888,0.985,0.8267,0
kernel,800,0.60,8,500000,near,65.768,63.990,1.028,1.0000,0
kernel,800,0.60,8,500000,full,346.786,337.720,1.027,0.9116,0
kernel,1600,0.60,8,500000,near,106.577,103.012,1.035,1.0000,0
kernel,1600,0.60,8,500000,full,537.612,614.132,0.875,0.9478,0
kernel,10,1.50,8,500000,near,13.999,10.547,1.327,0.0187,0
kernel,10,1.50,8,500000,full,11.789,9.306,1.267,0.0047,0
kernel,25,1.50,8,500000,near,28.600,24.337,1.175,0.0520,0
kernel,25,1.50,8,500000,full,28.081,21.988,1.277,0.0133,0
kernel,50,1.50,8,500000,near,48.278,45.063,1.071,0.0958,0
kernel,50,1.50,8,500000,full,49.346,46.145,1.069,0.0251,0
kernel,100,1.50,8,500000,near,86.736,81.799,1.060,0.1785,0
kernel,100,1.50,8,500000,full,92.916,87.570,1.061,0.0493,0
kernel,200,1.50,8,500000,near,159.764,146.502,1.091,0.3168,0
kernel,200,1.50,8,500000,full,176.608,168.279,1.049,0.0923,0
kernel,400,1.50,8,500000,near,290.712,306.696,0.948,0.5266,0
kernel,400,1.50,8,500000,full,394.990,443.254,0.891,0.1694,0
kernel,800,1.50,8,500000,near,437.695,490.955,0.892,0.7726,0
kernel,800,1.50,8,500000,full,721.861,852.877,0.846,0.2980,0
kernel,1600,1.50,8,500000,near,567.237,652.441,0.869,0.9435,0
kernel,1600,1.50,8,500000,full,1252.660,1488.051,0.842,0.4753,0
