robot,n_spheres,dim,N,extent,rake,m_blocks,t0_fused_ns,t0_split_ns,t2_split_ns,speedup_split,speedup_vs_fused,collision_frac,sphere_mismatch,verdict_mismatch
ur5,40,6,50,0.60,8,100000,818.883,994.974,918.576,1.083,0.891,0.9972,0,27724
panda,59,7,50,0.60,8,100000,625.897,186.669,187.416,0.996,3.340,1.0000,0,0
baxter,75,14,50,0.60,8,100000,551.026,298.712,303.130,0.985,1.818,1.0000,0,0
fetch,111,8,50,0.60,8,100000,662.435,261.125,258.460,1.010,2.563,1.0000,0,0
ur5,40,6,200,0.60,8,100000,1948.987,2581.485,2468.268,1.046,0.790,0.9981,0,13967
panda,59,7,200,0.60,8,100000,796.860,189.921,189.241,1.004,4.211,1.0000,0,0
baxter,75,14,200,0.60,8,100000,1148.792,304.143,300.247,1.013,3.826,1.0000,0,0
fetch,111,8,200,0.60,8,100000,1423.867,263.360,261.702,1.006,5.441,1.0000,0,0
ur5,40,6,800,0.60,8,100000,4181.401,6810.085,7979.520,0.853,0.524,0.9989,0,4361
panda,59,7,800,0.60,8,100000,931.571,189.322,189.688,0.998,4.911,1.0000,0,0
baxter,75,14,800,0.60,8,100000,2501.973,302.769,298.575,1.014,8.380,1.0000,0,0
fetch,111,8,800,0.60,8,100000,1832.144,264.713,260.525,1.016,7.032,1.0000,0,0
ur5,40,6,50,1.50,8,100000,879.670,695.300,608.692,1.142,1.445,0.9991,0,31634
panda,59,7,50,1.50,8,100000,442.881,572.119,492.007,1.163,0.900,0.7880,0,22400
baxter,75,14,50,1.50,8,100000,458.726,309.603,306.576,1.010,1.496,1.0000,0,0
fetch,111,8,50,1.50,8,100000,575.014,266.790,262.769,1.015,2.188,1.0000,0,0
ur5,40,6,200,1.50,8,100000,2320.398,1540.376,1480.036,1.041,1.568,0.9996,0,18134
panda,59,7,200,1.50,8,100000,842.821,806.079,735.206,1.096,1.146,0.9135,0,9706
baxter,75,14,200,1.50,8,100000,888.917,307.024,305.466,1.005,2.910,1.0000,0,0
fetch,111,8,200,1.50,8,100000,1225.324,269.218,267.586,1.006,4.579,1.0000,0,0
ur5,40,6,800,1.50,8,100000,4030.409,193.344,189.141,1.022,21.309,1.0000,0,0
panda,59,7,800,1.50,8,100000,1283.351,190.283,191.961,0.991,6.685,1.0000,0,0
baxter,75,14,800,1.50,8,100000,1974.440,303.896,303.390,1.002,6.508,1.0000,0,0
fetch,111,8,800,1.50,8,100000,121.694,259.441,258.945,1.002,0.470,1.0000,0,0
