robot,n_spheres,dim,N,extent,t_fk_ns,t_cc_ns,fk_fraction,collision_ceiling
ur5,40,6,200,0.60,130.739,2398.103,0.0545,18.343
panda,59,7,200,0.60,187.279,241.643,0.7750,1.290
baxter,75,14,200,0.60,297.658,294.967,1.0091,0.991
fetch,111,8,200,0.60,258.350,262.982,0.9824,1.018
ur5,40,6,800,0.60,128.618,5823.789,0.0221,45.280
panda,59,7,800,0.60,187.798,190.155,0.9876,1.013
baxter,75,14,800,0.60,297.866,299.437,0.9948,1.005
fetch,111,8,800,0.60,259.563,262.167,0.9901,1.010
ur5,40,6,200,1.50,127.434,2067.002,0.0617,16.220
panda,59,7,200,1.50,184.728,659.264,0.2802,3.569
baxter,75,14,200,1.50,296.264,311.935,0.9498,1.053
fetch,111,8,200,1.50,254.952,263.650,0.9670,1.034
ur5,40,6,800,1.50,131.003,568.566,0.2304,4.340
panda,59,7,800,1.50,186.276,333.741,0.5581,1.792
baxter,75,14,800,1.50,298.443,299.336,0.9970,1.003
fetch,111,8,800,1.50,261.074,263.655,0.9902,1.010
