robot,n_spheres,dim,scene,workload,n_links,mean_clear_rate,fine_fk_skip_frac,links_always_clear
ur5,40,6,uniform,random,7,0.3340,0.1383,2
panda,59,7,uniform,random,8,0.0005,0.0006,0
baxter,75,14,uniform,random,15,0.0086,0.0066,0
fetch,111,8,uniform,random,9,0.0810,0.0316,0
ur5,40,6,uniform,motion,7,0.6280,0.5209,2
panda,59,7,uniform,motion,8,0.0498,0.0847,0
baxter,75,14,uniform,motion,15,0.2101,0.2491,0
fetch,111,8,uniform,motion,9,0.3945,0.2206,0
ur5,40,6,localized,random,7,0.5213,0.3908,2
panda,59,7,localized,random,8,0.2145,0.1869,1
baxter,75,14,localized,random,15,0.3020,0.2303,2
fetch,111,8,localized,random,9,0.1259,0.0589,0
ur5,40,6,localized,motion,7,0.8032,0.7519,2
panda,59,7,localized,motion,8,0.5662,0.6050,1
baxter,75,14,localized,motion,15,0.6624,0.6199,2
fetch,111,8,localized,motion,9,0.4606,0.2719,0
